BPI Sum,3.7130%
50% Franklin,0.7515%
2/3 Franklin,2.1444%
Total Votes,100
District,Population,Pop. Proportion,# Votes / Member,Normalized BPI,BPI Diff
1,4038, 10.36%,10, 10.12%,-0.2451%
2,5886, 15.10%,14, 15.13%, 0.0294%
3,1453, 3.73%,4, 3.88%, 0.1550%
4,3468, 8.90%,9, 9.01%, 0.1116%
5,1408, 3.61%,4, 3.88%, 0.2705%
6,2460, 6.31%,6, 5.91%,-0.4007%
7,1406, 3.61%,4, 3.88%, 0.2756%
8,1285, 3.30%,3, 2.85%,-0.4510%
9,2237, 5.74%,6, 5.91%, 0.1715%
10,1914, 4.91%,5, 4.89%,-0.0180%
11,2205, 5.66%,6, 5.91%, 0.2536%
12,2838, 7.28%,7, 7.01%,-0.2772%
13,2283, 5.86%,6, 5.91%, 0.0535%
14,2088, 5.36%,5, 4.89%,-0.4645%
15,2192, 5.62%,6, 5.91%, 0.2870%
16,1810, 4.64%,5, 4.89%, 0.2489%
