BPI Sum,0.3614%
50% Franklin,0.1135%
2/3 Franklin,2.1509%
Total Votes,1000
District,Population,Pop. Proportion,# Votes / Member,Normalized BPI,BPI Diff
1,4038, 10.36%,103, 10.41%, 0.0507%
2,5886, 15.10%,140, 15.10%, 0.0013%
3,1453, 3.73%,38, 3.70%,-0.0271%
4,3468, 8.90%,89, 8.92%, 0.0236%
5,1408, 3.61%,37, 3.59%,-0.0182%
6,2460, 6.31%,65, 6.32%, 0.0089%
7,1406, 3.61%,37, 3.59%,-0.0131%
8,1285, 3.30%,35, 3.37%, 0.0696%
9,2237, 5.74%,58, 5.73%,-0.0122%
10,1914, 4.91%,50, 4.90%,-0.0129%
11,2205, 5.66%,57, 5.62%,-0.0388%
12,2838, 7.28%,72, 7.24%,-0.0438%
13,2283, 5.86%,59, 5.85%,-0.0091%
14,2088, 5.36%,55, 5.37%, 0.0170%
15,2192, 5.62%,57, 5.62%,-0.0054%
16,1810, 4.64%,48, 4.65%, 0.0095%
